,Year,Country,Area,Location,Activity,Fatal (Y/N),Injury,Species
0,2018.0,USA,California,"Oceanside, San Diego County",Other,N,"No injury to occupant, outrigger canoe and paddle damaged",White shark
1,2018.0,USA,Georgia,"St. Simon Island, Glynn County",Standing,N,Minor injury to left thigh,No Values
2,2018.0,USA,Hawaii,"Habush, Oahu",Surfing,N,Injury to left lower leg from surfboard skeg,No Values
3,2018.0,AUSTRALIA,New South Wales,Arrawarra Headland,Surfing,N,Minor injury to lower leg,Other
4,2018.0,MEXICO,Colima,La Ticla,Diving,N,Lacerations to leg & hand shark PROVOKED INCIDENT,Tiger shark
5,2018.0,AUSTRALIA,New South Wales,"Flat Rock, Ballina",Kite,N,"No injury, board bitten",No Values
6,2018.0,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,Y,FATAL,Tiger shark
7,2018.0,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",Fishing,N,Minor injury to foot. PROVOKED INCIDENT,Lemon shark
8,2018.0,USA,Florida,"Cocoa Beach, Brevard  County",Other,N,Lower left leg bitten,Bull shark
9,2018.0,USA,Florida,"Daytona Beach, Volusia County",Standing,N,Minor injury to foot,No Values
10,2018.0,AUSTRALIA,Queensland,Cairns Aquarium,Other,N,Minor bite to hand by captive shark. PROVOKED INCIDENT,Grey shark
11,2018.0,USA,South Carolina,"Isle of Palms,  Charleston County",Boarding,N,Injuries to lower right leg and foot,No Values
12,2018.0,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,N,Severe bite to right forearm,No Values
13,2018.0,ENGLAND,Cornwall,Off Land's End,Fishing,N,Injured by teeth of a dead porbeagle shark he was tossing overboard.,Other
14,2018.0,AUSTRALIA,Westerm Australia,Dugong Bay,Other,N,Shallow lacerations to finger PROVOKED INCIDENT,Nurse shark
15,2018.0,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,N,"Minor injury, marks on board",No Values
16,2018.0,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,N,"No injury, surfboard damaged",Other
17,2018.0,THAILAND,Hua Hin,Sai Noi Beach,Swimming,N,Minor injury to ankle,No Values
18,2018.0,COSTA RICA,Cocos Island,Manuelita,Scuba,N,"No injury, shark bit scuba gear",Tiger shark
19,2018.0,AUSTRALIA,Western Australia,Gearys Beach,Surfing,N,"No injury, knocked off board by shark",No Values
20,2018.0,AUSTRALIA,New South Wales,Lennox Head,Surfing,N,No injury,Other
21,2018.0,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,N,"No injury, knocked off board by shark",Other
22,2018.0,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,N,"No injury, shark struck his leg",White shark
23,2018.0,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,N,5-inch cut to hand,Tiger shark
24,2018.0,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Other,N,"No injury, shark bit hole in ski",White shark
25,2018.0,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Boarding,N,Lacerations to right lower leg,Other
26,2018.0,THAILAND,Hua Hin,Sai Noi Beach,Swimming,N,Lacerations to foot and ankle,Bull shark
27,2018.0,BRAZIL,Pernambuco,Piedade,Swimming,,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",No Values
28,2018.0,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,N,Laceration to right thigh,No Values
29,2018.0,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,N,Lacerations to legs,No Values
30,2018.0,BAHAMAS,New Providence,Nirvana Beach,Surfing,N,No Injury. Shark swam away with the surf board,Tiger shark
